variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,veg_type0,n
native_wm,veg_type0A,0.20648670895197307,1.1182255810993298,-1.2039022050494717,0.22862737942837452,0.028252443428402784,0.6996113063652017,A,49
native_wm,veg_type0M,0.6563447787879848,0.5288791048045193,1.2234314639524557,0.22116677548545846,0.4038288453140643,0.8433847811914125,M,71
native_wm,veg_type0R,0.6488032530536707,0.5816078013802459,1.0553209847765952,0.29127854685247473,0.37141588707171963,0.8524205409470108,R,95
native_wm,veg_type0TD_mesic,0.6297023359493491,0.4421653181441407,1.2007727057857474,0.2298393821860593,0.4168572792253139,0.8017977061752034,TD_mesic,79
native_wm,veg_type0TD_wet,0.6458713184461184,0.4404662139430962,1.3643269634991169,0.1724646833105804,0.43478415221288536,0.8121799870082091,TD_wet,176
native_wm,veg_type0TE,0.45539037876212246,0.5639802942012435,-0.31723487883367374,0.7510653861839802,0.21681995813787802,0.7163579353715043,TE,59
native_wm,veg_type0TFG,0.5078299392512903,0.5039318276468578,0.062155862883810066,0.9504387108061079,0.27760638883279304,0.7347798218817118,TFG,63
native_wm,veg_type0TH,0.48690508568070706,0.4273769940400392,-0.12258881221693602,0.9024327141747435,0.2911025728927488,0.6868109085904672,TH,345
native_wm,veg_type0X,0.6592165115683329,0.5346073802558868,1.2341855092063247,0.217133785862461,0.40419728014687284,0.8465267988437342,X,41
native_uwm,veg_type0A,0.23342454313445393,1.019441594955155,-1.1663976373030305,0.24345371336158358,0.039652428491426445,0.6918952060769433,A,49
native_uwm,veg_type0M,0.46842599939294244,0.4696565974278395,-0.2692696781514321,0.78772216404459,0.2598065420080785,0.6886993675693492,M,71
native_uwm,veg_type0R,0.5975871696093507,0.5117040551468424,0.7727545967267089,0.4396676285283762,0.3526297248225125,0.8019208445481127,R,95
native_uwm,veg_type0TD_mesic,0.5211076494765777,0.390366931206263,0.21641384125155852,0.8286651781431618,0.3361219753464704,0.7004802752581456,TD_mesic,79
native_uwm,veg_type0TD_wet,0.5813552578562253,0.38713839895741364,0.8481187623813258,0.3963718335572777,0.3940217510317522,0.7478383809079872,TD_wet,176
native_uwm,veg_type0TE,0.5041331757424313,0.49790944813406385,0.03320499263698319,0.9735111167709128,0.2770080528941404,0.7295651919743887,TE,59
native_uwm,veg_type0TFG,0.5106871685029095,0.4516609096734391,0.09466213472681194,0.92458319498071,0.30101189760457997,0.7166681957597244,TFG,63
native_uwm,veg_type0TH,0.5054147053131935,0.3755384290758825,0.05767630240470573,0.9540064702073118,0.3286312741861874,0.6808544888127478,TH,344
native_uwm,veg_type0X,0.5922864043873994,0.47026061864781754,0.7940817025980522,0.4271478688784332,0.3662662180671438,0.785012411278381,X,41
log_leaf_size_wm,veg_type0A,0.6435334226406128,0.32917121707468816,1.7946085519289485,0.0727160896448413,0.4863957962936569,0.7748490572197384,A,73
log_leaf_size_wm,veg_type0M,0.3777254474243893,0.28612218617539786,-1.7447573805020633,0.0810271104231533,0.2573088859541628,0.5153889840003765,M,79
log_leaf_size_wm,veg_type0R,0.6109170887713837,0.24162394736289958,1.8672354167847791,0.06186871977466091,0.49439887367004026,0.7160075435736261,R,154
log_leaf_size_wm,veg_type0TD_mesic,0.5343150357806074,0.22611320619970698,0.607997466857489,0.5431891539696525,0.42416528011995974,0.64121695695766,TD_mesic,85
log_leaf_size_wm,veg_type0TD_wet,0.5265019848078227,0.21133643683164985,0.5020780237224981,0.6156126381804289,0.42357749470669215,0.6272223994952354,TD_wet,219
log_leaf_size_wm,veg_type0TE,0.6731756500327891,0.2838524986302298,2.545629945678209,0.010908075606667685,0.5414652338835901,0.7822665779185806,TE,75
log_leaf_size_wm,veg_type0TFG,0.6070220970305042,0.30470363447859405,1.4269990939485055,0.15358015579049727,0.45948990570051984,0.7373073197321179,TFG,63
log_leaf_size_wm,veg_type0TH,0.5505619612603767,0.20725435524220004,0.9791905436535896,0.32748584015074855,0.4493568631957937,0.6477474691427858,TH,364
log_leaf_size_wm,veg_type0X,0.5330670930089134,0.3098120292188564,0.427555106265599,0.6689750568137398,0.38349054237277047,0.6769263438561733,X,42
log_leaf_size_uwm,veg_type0A,0.36636734599431403,0.3595326242457343,-1.52373618373042,0.1275746267552953,0.22226700901043617,0.5391293550614795,A,73
log_leaf_size_uwm,veg_type0M,0.46074136068405147,0.3174565331155308,-0.4956850588556295,0.6201166301971676,0.3144143290091368,0.6141628925403969,M,79
log_leaf_size_uwm,veg_type0R,0.5117299916448793,0.27426088403173754,0.1711092611045547,0.8641378539594866,0.37974919992822076,0.6420953108220161,R,153
log_leaf_size_uwm,veg_type0TD_mesic,0.5082161248320781,0.26360248927989166,0.12468568832043989,0.9007723880403659,0.3813590048705937,0.6340239517160022,TD_mesic,85
log_leaf_size_uwm,veg_type0TD_wet,0.48154872368950563,0.24911923001758196,-0.2963987773865901,0.7669255589086287,0.36306092403272616,0.602148694273856,TD_wet,219
log_leaf_size_uwm,veg_type0TE,0.5410890814170725,0.31002002033450365,0.5313457231243672,0.5951792261906813,0.39105011216660873,0.6840302987585855,TE,75
log_leaf_size_uwm,veg_type0TFG,0.6954815568893203,0.3393567757253157,2.43364181443155,0.014947778678261237,0.5401001361266506,0.8162283043290637,TFG,63
log_leaf_size_uwm,veg_type0TH,0.6176426327021738,0.24396361287523047,1.9656797689642609,0.04933561321027624,0.5003486107981477,0.722663923160637,TH,364
log_leaf_size_uwm,veg_type0X,0.6178058986244076,0.3394951216449735,1.4145880139877074,0.15718932511727962,0.45384366316970454,0.7587143658285471,X,42
log_height_mean_wm,veg_type0A,0.545598083680651,0.3423289352616206,0.5342829387695343,0.5931457943909315,0.38035260351986916,0.7013747497326941,A,73
log_height_mean_wm,veg_type0M,0.34743566596675435,0.3154293744009575,-1.9983244039853516,0.04568150141951082,0.22294943474175888,0.4969750361301617,M,79
log_height_mean_wm,veg_type0R,0.6477514331425318,0.2645700686254736,2.3024900468350316,0.02130755208234791,0.5226400440317188,0.755417473091811,R,154
